Date,Time,engagement rate (%)
4052021,1000,1.9
4052021,1001,2
4052021,1002,2.1
4052021,1003,2.2
4052021,1004,2.3
4052021,1005,2.4
4052021,1006,2.5
4052021,1007,2.6
4052021,1008,2.7
4052021,1009,2.8
4052021,1010,2.9
4052021,1011,3
4052021,1012,3.1
4052021,1013,3.2
4052021,1014,3.3
4052021,1015,3.4
4052021,1016,3.5
4052021,1017,3.6
4052021,1018,3.7
4052021,1019,3.8
4052021,1020,3.9
4052021,1021,4
4052021,1022,4.1
4052021,1023,4.2
4052021,1024,4.3
4052021,1025,4.4
4052021,1026,4.5
4052021,1027,4.6
4052021,1028,4.7
4052021,1029,4.8
4052021,1030,4.9
4052021,1031,5
4052021,1032,5.1
4052021,1033,5.2
4052021,1034,5.1
4052021,1035,5
4052021,1036,4.9
4052021,1037,4.8
4052021,1038,4.7
4052021,1039,4.6
4052021,1040,4.5
4052021,1041,4.4
4052021,1042,4.3
4052021,1043,4.2
4052021,1044,4.1
4052021,1045,4
4052021,1046,3.9
4052021,1047,3.8
4052021,1048,3.7
4052021,1049,3.6
4052021,1050,3.5
4052021,1051,3.4
4052021,1052,3.3
4052021,1053,3.2
4052021,1054,3.1
4052021,1055,3
4052021,1056,2.9
4052021,1057,2.8
4052021,1058,2.7
4052021,1059,2.6
4052021,1100,2.5
