Date,Time,engagement rate (%)
4052021,1000,1.9
4052021,1001,2
4052021,1002,2.1
4052021,1003,2.2
4052021,1004,2.3
4052021,1005,2.4
4052021,1006,2.5
4052021,1007,2.6
4052021,1008,2.7
4052021,1009,2.8
4052021,1010,2.9
4052021,1011,3
4052021,1012,3.1
4052021,1013,3.2
4052021,1014,3.3
4052021,1015,3.4
4052021,1016,3.5
4052021,1017,3.6
4052021,1018,3.7
4052021,1019,3.8
4052021,1020,3.9
4052021,1021,4
4052021,1022,4.1
4052021,1023,4.2
4052021,1024,4.3
4052021,1025,4.4
4052021,1026,4.5
4052021,1027,4.6
4052021,1028,4.7
4052021,1029,4.8
4052021,1030,4.9
4052021,1031,5
4052021,1032,5.1
4052021,1033,5.2
4052021,1034,5.1
4052021,1035,5
4052021,1036,4.9
4052021,1037,4.8
4052021,1038,4.7
4052021,1039,4.6
4052021,1040,4.5
4052021,1041,4.4
4052021,1042,4.3
4052021,1043,4.2
4052021,1044,4.1
4052021,1045,4
4052021,1046,3.9
4052021,1047,3.8
4052021,1048,3.7
4052021,1049,3.6
4052021,1050,3.5
4052021,1051,3.4
4052021,1052,3.3
4052021,1053,3.2
4052021,1054,3.1
4052021,1055,3
4052021,1056,2.9
4052021,1057,2.8
4052021,1058,2.7
4052021,1059,2.6
4052021,1100,2.5
4052021,1101,2.5
4052021,1102,2.6
4052021,1103,2.7
4052021,1104,2.8
4052021,1105,2.9
4052021,1106,3
4052021,1107,3.1
4052021,1108,3.2
4052021,1109,3.3
4052021,1110,3.4
4052021,1111,3.5
4052021,1112,3.6
4052021,1113,3.7
4052021,1114,3.8
4052021,1115,3.9
4052021,1116,4
4052021,1117,4.1
4052021,1118,4.2
4052021,1119,4.3
4052021,1120,4.4
4052021,1121,4.5
4052021,1122,4.6
4052021,1123,4.7
4052021,1124,4.8
4052021,1125,4.9
4052021,1126,5
4052021,1127,5.1
4052021,1128,5.2
4052021,1129,5.3
4052021,1130,5.4
4052021,1131,5.5
4052021,1132,5.6
4052021,1133,5.7
4052021,1134,5.8
4052021,1135,5.7
4052021,1136,5.6
4052021,1137,5.5
4052021,1138,5.4
4052021,1139,5.3
4052021,1140,5.2
4052021,1141,5.1
4052021,1142,5
4052021,1143,4.9
4052021,1144,4.8
4052021,1145,4.7
4052021,1146,4.6
4052021,1147,4.5
4052021,1148,4.4
4052021,1149,4.3
4052021,1150,4.2
4052021,1151,4.1
4052021,1152,4
4052021,1153,3.9
4052021,1154,3.8
4052021,1155,3.7
4052021,1156,3.6
4052021,1157,3.5
4052021,1158,3.4
4052021,1159,3.3
4052021,1200,3.2
4052021,1201,3.1
4052021,1202,3
4052021,1203,2.9
4052021,1204,2.8
4052021,1205,2.7
4052021,1206,2.6
4052021,1207,2.5
4052021,1208,2.4
4052021,1209,2.3
4052021,1210,2.2
4052021,1211,2.1
4052021,1212,2
4052021,1213,1.9
4052021,1214,1.8
4052021,1215,1.7
4052021,1216,1.6
4052021,1217,1.5
4052021,1218,1.6
4052021,1219,1.7
4052021,1220,1.8
4052021,1221,1.9
4052021,1222,2
4052021,1223,2.1
4052021,1224,2.2
4052021,1225,2.3
4052021,1226,2.4
4052021,1227,2.5
4052021,1228,2.6
4052021,1229,2.7
4052021,1230,2.8
4052021,1231,2.9
4052021,1232,3
4052021,1233,3.1
4052021,1234,3.2
4052021,1235,3.3
4052021,1236,3.4
4052021,1237,3.5
4052021,1238,3.6
4052021,1239,3.7
4052021,1240,3.8
4052021,1241,3.9
4052021,1242,4
4052021,1243,4.1
4052021,1244,4.2
4052021,1245,4.3
4052021,1246,4.4
4052021,1247,4.5
4052021,1248,4.6
4052021,1249,4.7
4052021,1250,4.8
4052021,1251,4.9
4052021,1252,5
4052021,1253,5.1
4052021,1254,5.2
4052021,1255,5.3
4052021,1256,5.4
4052021,1257,5.5
4052021,1258,5.6
4052021,1259,5.7
4052021,1300,5.8
4052021,1301,5.8
4052021,1302,5.8
4052021,1303,5.7
4052021,1304,5.6
4052021,1305,5.5
4052021,1306,5.4
4052021,1307,5.3
4052021,1308,5.2
4052021,1309,5.1
4052021,1310,5
4052021,1311,4.9
4052021,1312,4.8
4052021,1313,4.7
4052021,1314,4.6
4052021,1315,4.5
4052021,1316,4.4
4052021,1317,4.3
4052021,1318,4.2
4052021,1319,4.1
4052021,1320,4
4052021,1321,3.9
4052021,1322,3.8
4052021,1323,3.7
4052021,1324,3.6
4052021,1325,3.5
4052021,1326,3.4
4052021,1327,3.3
4052021,1328,3.2
4052021,1329,3.1
4052021,1330,3
4052021,1331,2.9
4052021,1332,2.8
4052021,1333,2.7
4052021,1334,2.6
4052021,1335,2.5
4052021,1336,2.6
4052021,1337,2.7
4052021,1338,2.8
4052021,1339,2.9
4052021,1340,3
4052021,1341,3.1
4052021,1342,3.2
4052021,1343,3.3
4052021,1344,3.4
4052021,1345,3.5
4052021,1346,3.6
4052021,1347,3.7
4052021,1348,3.8
4052021,1349,3.9
4052021,1350,4
4052021,1351,4.1
4052021,1352,4.2
4052021,1353,4.3
4052021,1354,4.4
4052021,1355,4.5
4052021,1356,4.6
4052021,1357,4.5
4052021,1358,4.4
4052021,1359,4.3
4052021,1400,4.2
4052021,1401,4.1
4052021,1402,4
4052021,1403,3.9
4052021,1404,3.8
4052021,1405,3.7
4052021,1406,3.6
4052021,1407,3.5
4052021,1408,3.4
4052021,1409,3.3
4052021,1410,3.2
4052021,1411,3.1
4052021,1412,3
4052021,1413,2.9
4052021,1414,2.8
4052021,1415,2.7
4052021,1416,2.6
4052021,1417,2.5
4052021,1418,2.4
4052021,1419,2.3
4052021,1420,2.2
4052021,1421,2.1
4052021,1422,2
4052021,1423,1.9
4052021,1424,1.8
4052021,1425,1.7
4052021,1426,1.6
4052021,1427,1.5
4052021,1428,1.4
4052021,1429,1.3
4052021,1430,1.2
4052021,1431,1.3
4052021,1432,1.4
4052021,1433,1.5
4052021,1434,1.6
4052021,1435,1.7
4052021,1436,1.8
4052021,1437,1.9
4052021,1438,2
4052021,1439,2.1
4052021,1440,2.2
4052021,1441,2.3
4052021,1442,2.4
4052021,1443,2.5
4052021,1444,2.6
4052021,1445,2.7
4052021,1446,2.8
4052021,1447,2.9
4052021,1448,3
4052021,1449,3.1
4052021,1450,3.2
4052021,1451,3.3
4052021,1452,3.4
4052021,1453,3.5
4052021,1454,3.6
4052021,1455,3.7
4052021,1456,3.8
4052021,1457,3.9
4052021,1458,4
4052021,1459,4.1
4052021,1500,4.2
4052021,1501,4.3
4052021,1502,4.4
4052021,1503,4.5
4052021,1504,4.6
4052021,1505,4.7
4052021,1506,4.8
4052021,1507,4.9
4052021,1508,5
4052021,1509,5.1
4052021,1510,5.2
4052021,1511,5.3
4052021,1512,5.4
4052021,1513,5.5
4052021,1514,5.6
4052021,1515,5.7
4052021,1516,5.8
4052021,1517,5.9
4052021,1518,6
4052021,1519,6.1
4052021,1520,6.2
4052021,1521,6.3
4052021,1522,6.2
4052021,1523,6.1
4052021,1524,6
4052021,1525,5.9
4052021,1526,5.8
4052021,1527,5.7
4052021,1528,5.6
4052021,1529,5.5
4052021,1530,5.4
4052021,1531,5.3
4052021,1532,5.2
4052021,1533,5.1
4052021,1534,5
4052021,1535,4.9
4052021,1536,4.8
4052021,1537,4.7
4052021,1538,4.6
4052021,1539,4.5
4052021,1540,4.4
4052021,1541,4.3
4052021,1542,4.2
4052021,1543,4.1
4052021,1544,4
4052021,1545,3.9
4052021,1546,3.8
4052021,1547,3.7
4052021,1548,3.6
4052021,1549,3.5
4052021,1550,3.4
4052021,1551,3.3
4052021,1552,3.2
4052021,1553,3.1
4052021,1554,3
4052021,1555,2.9
4052021,1556,2.8
4052021,1557,2.7
4052021,1558,2.6
4052021,1559,2.5
4052021,1600,2.4
4052021,1601,2.5
4052021,1602,2.6
4052021,1603,2.7
4052021,1604,2.8
4052021,1605,2.9
4052021,1606,3
4052021,1607,3.1
4052021,1608,3.2
4052021,1609,3.3
4052021,1610,3.4
4052021,1611,3.5
4052021,1612,3.6
4052021,1613,3.7
4052021,1614,3.8
4052021,1615,3.9
4052021,1616,4
4052021,1617,4.1
4052021,1618,4.2
4052021,1619,4.3
4052021,1620,4.4
4052021,1621,4.5
4052021,1622,4.6
4052021,1623,4.7
4052021,1624,4.8
4052021,1625,4.9
4052021,1626,5
4052021,1627,5.1
4052021,1628,5.2
4052021,1629,5.3
4052021,1630,5.4
4052021,1631,5.5
4052021,1632,5.6
4052021,1633,5.7
4052021,1634,5.8
4052021,1635,5.9
4052021,1636,6
4052021,1637,6.1
4052021,1638,6.2
4052021,1639,6.3
4052021,1640,6.4
4052021,1641,6.5
4052021,1642,6.6
4052021,1643,6.5
4052021,1644,6.4
4052021,1645,6.3
4052021,1646,6.2
4052021,1647,6.1
4052021,1648,6
